Sport,League,City,State,Name
Baseball,MLB,San Diego,California,San Diego Padres
Baseball,MLB,San Francisco,California,San Francisco Giants
Hockey,NHL,Boston,Massachusetts,Boston Bruins
Hockey,NHL,Buffalo,New York,Buffalo Sabres
Hockey,NHL,Detroit,Michigan,Detroit Red Wings
Hockey,NHL,Sunrise,Florida,Florida Panthers
Hockey,NHL,Montreal,Quebec,Montreal Canadiens
Hockey,NHL,Ottawa,Ontario,Ottawa Senators
Hockey,NHL,Tampa,FLorida,Tampa Bay Lightning
Hockey,NHL,Toronto,Ontario,Tornto Maple Leafs
Hockey,NHL,Raleigh,North Carolina,Carolina Hurricanes
Hockey,NHL,Columbus,Ohio,Columbus Blue Jackets
Hockey,NHL,Newark,New Jersey,New Jersey Devils
Hockey,NHL,New York City,New York,New York Islanders
Hockey,NHL,New York City,New York,New York Rangers
Hockey,NHL,Philadelphia,Pennsylvania,Philadelphia Flyers
Hockey,NHL,Washington D.C.,,Washington Capitals
Hockey,NHL,Chicago,Illinois,Chicago Blackhawks
Hockey,NHL,Denver,Colorado,Colorado Avalanche
Hockey,NHL,Dallas,Texas,Dallas Stars
Hockey,NHL,Saint Paul,Minnesota,Minnesota Wild
Hockey,NHL,Nashville,Tennessee,Nashville Predators
Hockey,NHL,St. Louis,Missouri,St. Louis Blues
Hockey,NHL,Winnipeg,Manitoba,Winnipeg Jets
Hockey,NHL,Anaheim,California,Anaheim Ducks
Hockey,NHL,Glendale,Arizona,Arizona Coyotes
Hockey,NHL,Calgary,Alberta,Calgary Flames
Hockey,NHL,Edmonton,Alberta,Edmonton Oilers
Hockey,NHL,Los Angeles,California,Los Angeles Kings
Hockey,NHL,San Jose,California,San Jose Sharks
Hockey,NHL,Vancouver,British Columbia,Vancouver Canucks
Hockey,NHL,Paradise,Nevada,Vegas Golden Knights
